1,,,,,,,,,,,,,,,,,
03390392,"Geysers Power Company, LLC",Barrows         ,2     ,ACTV,DST,CALP ,1981,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390421,"Geysers Power Company, LLC",NE Geysers Unit ,7A    ,ACTV,DST,CALP ,1981,Lake                ,033,GEYSR,P,,,4,11N,8W,MD
03390422,"Geysers Power Company, LLC",MLM             ,5     ,IDLE,DST,CALP ,1981,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390423,"Geysers Power Company, LLC",McKinley        ,9     ,ACTV,DST,CALP ,1982,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390424,Union Oil Company of California Geothermal Division                                                 ,High Valley St  ,39-30 ,ABDN,DST,UNION,1984,Lake                ,033,GEYSR,S,,,30,12N,8W,MD
03390425,"BOTTLE ROCK POWER, LLC",Coleman         ,1-6   ,SUSP,DST,BRPL ,1982,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
03390426,Union Oil Company of California Geothermal Division                                                 ,High Valley St  ,99-25 ,ABDN,DST,UNION,1982,Lake                ,033,GEYSR,S,,,25,12N,9W,MD
03390427,"Geysers Power Company, LLC",CA-5636         ,74A-21,ABDN,INJ,CALP ,1982,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390428,"Geysers Power Company, LLC",Tocher          ,2     ,ACTV,DST,CALP ,1982,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390429,"BOTTLE ROCK POWER, LLC",Coleman         ,2-6   ,ACTV,DST,BRPL ,1982,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
3390430,,,,,,,,,,,,,,,,,
03390435,"Geysers Power Company, LLC",CA-5636         ,23A-22,IDLE,DST,CALP ,1982,Lake                ,033,GEYSR,F,,,22,11N,8W,MD
03390436,"BOTTLE ROCK POWER, LLC",Coleman         ,2-5   ,ABDN,DST,BRPL ,1982,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390437,"BOTTLE ROCK POWER, LLC",Coleman         ,3-6   ,SUSP,DST,BRPL ,1982,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
3390439,,,,,,,,,,,,,,,,,
03390440,Union Oil Company of California Geothermal Division                                                 ,Kelsey Creek St ,97-11 ,ABDN,DST,UNION,1982,Lake                ,033,GEYSR,S,,,11,12N,9W,MD
3390441,,,,,,,,,,,,,,,,,
03390442,"BOTTLE ROCK POWER, LLC",Coleman         ,3-5   ,ACTV,DST,BRPL ,1983,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390443,"BOTTLE ROCK POWER, LLC",Coleman         ,4-6   ,ACTV,DST,BRPL ,1983,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
03390444,"Geysers Power Company, LLC",Bianchi         ,3     ,IDLE,DST,CALP ,1983,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390446,"Geysers Power Company, LLC",CA-5636         ,87A-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390447,"BOTTLE ROCK POWER, LLC",Coleman         ,4-5   ,ABDN,DST,BRPL ,1983,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390448,"Geysers Power Company, LLC",DX State 4596   ,52    ,IDLE,INJ,CALP ,1983,Lake                ,033,GEYSR,S,,,8,11N,8W,MD
03390449,"Geysers Power Company, LLC",Sprouse         ,A-1   ,ABDN,DST,CALP ,1983,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390451,Union Oil Company of California Geothermal Division                                                 ,High Valley St  ,94-25 ,ABDN,DST,UNION,1983,Lake                ,033,GEYSR,S,,,25,12N,9W,MD
03390459,"Geysers Power Company, LLC",CA-5636         ,68B-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390460,Union Oil Company of California Geothermal Division                                                 ,High Valley St  ,39A-30,ABDN,DST,UNION,1983,Lake                ,033,GEYSR,S,,,30,12N,8W,MD
03390461,"Geysers Power Company, LLC",CA-5636         ,68C-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390462,"BOTTLE ROCK POWER, LLC",Coleman         ,5-6   ,ACTV,DST,BRPL ,1983,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
3390463,,,,,,,,,,,,,,,,,
03390464,"Geysers Power Company, LLC",CA-5636         ,87B-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390465,Union Oil Company of California Geothermal Division                                                 ,DX State 4596   ,53    ,ABDN,DST,UNION,1983,Lake                ,033,GEYSR,S,,,8,11N,8W,MD
03390466,"Geysers Power Company, LLC",CA-5636         ,87C-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390469,"Geysers Power Company, LLC",CA-958          ,43A-35,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390474,"Geysers Power Company, LLC",CA-5636         ,74B-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390476,"Geysers Power Company, LLC",MLM             ,4     ,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
1,,,,,,,,,,,,,,,,,
03390478,"Geysers Power Company, LLC",CA-5636         ,74C-21,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390479,,,,,,,,,,,,,,,,,
03390480,"Geysers Power Company, LLC",CA-958          ,43B-35,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390484,"Geysers Power Company, LLC",California St   ,92-6  ,ACTV,DST,CALP ,2008,Lake                ,033,GEYSR,S,,,6,11N,8W,MD
03390485,"Geysers Power Company, LLC",CA-956A         ,35-35 ,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390486,Northern California Power Agency                                                                    ,CA-949          ,53B-2 ,ACTV,DST,NCPA ,1984,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390487,Northern California Power Agency                                                                    ,CA-949          ,53C-2 ,ACTV,DST,NCPA ,1984,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390488,"Geysers Power Company, LLC",CA-958          ,35A-35,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390492,"Geysers Power Company, LLC",Barrows         ,5     ,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390494,Union Oil Company of California Geothermal Division                                                 ,Binkley State   ,1     ,ABDN,DST,UNION,1984,Lake                ,033,GEYSR,S,,,25,12N,9W,MD
03390495,"Geysers Power Company, LLC",Barrows         ,4     ,IDLE,INJ,CALP ,1984,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
03390496,"BOTTLE ROCK POWER, LLC",Coleman         ,5-5   ,IDLE,DST,BRPL ,1984,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390497,"Geysers Power Company, LLC",McKinley        ,10    ,ACTV,DST,CALP ,1984,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390498,Union Oil Company of California Geothermal Division                                                 ,L'Esperance     ,2     ,ABDN,DST,UNION,1985,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
03390500,"Geysers Power Company, LLC",McKinley        ,11    ,ACTV,DST,CALP ,1985,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390501,"BOTTLE ROCK POWER, LLC",Coleman         ,1A-5  ,IDLE,DST,BRPL ,1985,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390502,"BOTTLE ROCK POWER, LLC",Coleman         ,6-6   ,CANC,DST,BRPL ,,Lake                ,033,GEYSR,P,,,6,11N,8W,MD
03390503,"Geysers Power Company, LLC",McKinley        ,12    ,ACTV,DST,CALP ,1985,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390506,,,,,,,,,,,,,,,,,
03390507,"Geysers Power Company, LLC",CA-5636         ,87D-21,ACTV,DST,CALP ,1985,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390508,Northern California Power Agency                                                                    ,CA-949          ,22A-1 ,ACTV,DST,NCPA ,1985,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390509,"Geysers Power Company, LLC",D & V           ,A-4   ,ACTV,DST,CALP ,1986,Lake                ,033,GEYSR,P,,,34,11N,8W,MD
03390510,"Geysers Power Company, LLC",CA-5636         ,68D-21,ACTV,DST,CALP ,1985,Lake                ,033,GEYSR,F,,,21,11N,8W,MD
03390511,Northern California Power Agency                                                                    ,CA-949          ,38B-1 ,ACTV,DST,NCPA ,1985,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390512,"BOTTLE ROCK POWER, LLC",Francisco       ,4-5   ,IDLE,INJ,BRPL ,1985,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390513,,,,,,,,,,,,,,,,,
03390518,"Geysers Power Company, LLC",NE Geysers Unit ,15    ,IDLE,DST,CALP ,1986,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390519,"Geysers Power Company, LLC",GD Horner State ,9     ,ACTV,DST,CALP ,1986,Lake                ,033,GEYSR,S,,,5,11N,8W,MD
03390520,"BOTTLE ROCK POWER, LLC",Francisco       ,5-5   ,IDLE,DST,BRPL ,1986,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390521,"Geysers Power Company, LLC",NE Geysers Unit ,17    ,ACTV,DST,CALP ,1990,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390522,Northern California Power Agency                                                                    ,CA-949          ,17B-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390523,Northern California Power Agency                                                                    ,CA-949          ,38C-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390524,Northern California Power Agency                                                                    ,CA-949          ,38D-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390525,Northern California Power Agency                                                                    ,CA-949          ,17C-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390526,,,,,,,,,,,,,,,,,
03390527,Northern California Power Agency                                                                    ,CA-949          ,38E-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390528,"Geysers Power Company, LLC",Barrows         ,6     ,ACTV,DST,CALP ,1986,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390529,Northern California Power Agency                                                                    ,CA-949          ,38F-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390530,Northern California Power Agency                                                                    ,CA-949          ,17E-1 ,CANC,DST,NCPA ,,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390545,"Geysers Power Company, LLC",DX State 4596   ,87    ,ACTV,DST,CALP ,1986,Lake                ,033,GEYSR,S,,,8,11N,8W,MD
03390546,Northern California Power Agency                                                                    ,CA-949          ,53D-2 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390547,Northern California Power Agency                                                                    ,CA-949          ,38G-1 ,ACTV,DST,NCPA ,1986,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
03390549,Northern California Power Agency                                                                    ,CA-949          ,53E-2 ,ACTV,DST,NCPA ,1987,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390552,,,,,,,,,,,,,,,,,
03390555,Northern California Power Agency                                                                    ,CA-949          ,53G-2 ,ACTV,DST,NCPA ,1987,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390558,"Geysers Power Company, LLC",Davies St 5206  ,2     ,ACTV,DST,CALP ,1987,Lake                ,033,GEYSR,S,,,36,11N,8W,MD
03390560,Northern California Power Agency                                                                    ,CA-949          ,53H-2 ,ACTV,DST,NCPA ,1987,Lake                ,033,GEYSR,F,,,2,10N,8W,MD
03390561,,,,,,,,,,,,,,,,,
